Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.277608e+01  3.401998e+00  1.958900e+05  0.000000e+00
5000          -3.997224e+00  1.438738e+01  1.991272e-03  8.368626e+00  4.735666e+08  6.335012e-01
10000         -4.128104e+00  1.369138e+01  8.773804e-04  4.958936e+00  8.611164e+08  6.967815e-01
15000         -4.209005e+00  1.361022e+01  4.520416e-04  3.155760e+00  1.196577e+09  7.521580e-01
20000         -4.251315e+00  1.356778e+01  2.341270e-04  2.221599e+00  1.532116e+09  7.832434e-01
25000         -4.273235e+00  1.354579e+01  1.211166e-04  1.737961e+00  1.867859e+09  8.030721e-01
30000         -4.284584e+00  1.353440e+01  6.270409e-05  1.487583e+00  2.203554e+09  8.168757e-01
35000         -4.290459e+00  1.352851e+01  3.242493e-05  1.357964e+00  2.538929e+09  8.271343e-01
40000         -4.293500e+00  1.352546e+01  1.680851e-05  1.290861e+00  2.874672e+09  8.348918e-01
45000         -4.295075e+00  1.352387e+01  8.702278e-06  1.256118e+00  3.210039e+09  8.411252e-01
50000         -4.295890e+00  1.352306e+01  4.529953e-06  1.238136e+00  3.545490e+09  8.461596e-01
