Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.724717e+01  7.372109e+00  3.242404e+06  0.000000e+00
5000          -7.708251e+00  8.976275e+01  3.425598e-03  1.228442e+01  6.930579e+09  8.657429e-01
10000         -7.715225e+00  8.869278e+01  1.604080e-03  1.389149e+01  1.369037e+10  8.765431e-01
15000         -7.718533e+00  8.649821e+01  1.058578e-03  1.510947e+01  2.044742e+10  8.803213e-01
20000         -7.720517e+00  8.410392e+01  7.915497e-04  1.612755e+01  2.720335e+10  8.822591e-01
25000         -7.721872e+00  8.188560e+01  6.313324e-04  1.701528e+01  3.396371e+10  8.833104e-01
30000         -7.722870e+00  7.992374e+01  5.245209e-04  1.780806e+01  4.072171e+10  8.840641e-01
35000         -7.723627e+00  7.820203e+01  4.482269e-04  1.852882e+01  4.747842e+10  8.846271e-01
40000         -7.724189e+00  7.668271e+01  3.890991e-04  1.918884e+01  5.423506e+10  8.850512e-01
45000         -7.724564e+00  7.533028e+01  3.433228e-04  1.979698e+01  6.103407e+10  8.847664e-01
50000         -7.724730e+00  7.411452e+01  3.070831e-04  2.036065e+01  6.778949e+10  8.851077e-01
